study_id,country,setting,sample_size,sepsis_def,method,num_clusters,variables,phenotypes
Baloch_2022,,ED,N=286,Sepsis-3,,0,0,
Besen_2016,,ED,N=957,Sepsis-3,,0,2,
Bidart_2024,,ED,N=356,Sepsis-3,,0,4,
Cao_2021,,ED,N=1604,Sepsis-3,k-means,1,5,Cluster m
Chen_2021,,ED,N=131,,,0,2,
Cilloniz_2019,,ED,N=4219,Sepsis-3,,0,0,
Gai_2022,,,N/A,,,0,3,
Holanda_2020,,ED,N=122,Sepsis-3,,0,1,
Kochkin_2021,,ED,N=978,Sepsis-3,,0,2,
Koozi_2023,,ICU,N/A,Sepsis-3,,0,7,
Kozlov_2022,,ED,N=134,Sepsis-3,,0,1,
Li_2020,,ED,N=146,Sepsis-3,,0,6,
Li_2024,,ED,N=209,Sepsis-3,,0,6,
Liu_2019,,ED,N=1865,Sepsis-3,,0,6,
Luo_2022,,ED,N=9111,Sepsis-3,,0,5,
Park_2022,,ED,N=2126,Sepsis-3,,0,5,
Ren_2022,,ED,N=1676,Sepsis-3,,0,6,
Roh_2019,,ED,N=1145,Sepsis-3,,0,1,
Schlapbach_2018,,ED,N=715,Sepsis-3,,0,1,
Seymour_2016,,ED,N=706399,Sepsis-3,,0,3,
Suttapanit_2022,,ED,N=550,Sepsis-3,,0,1,
Tang_2025,,ED,N=415,,,0,4,
Tartaglia_2021,,ED,N=113,Sepsis-3,,0,0,
Todi_2024,,ED,N=1172,Sepsis-3,,0,4,
Varga_2024,,ED,N=138,Sepsis-3,,0,7,
Wang_2020,,ED,N=910,Sepsis-3,,0,2,
Wang_2023,,,N/A,Sepsis-3,,0,5,
Wen_2019,,ED,N=138,Sepsis-3,,0,5,
Zhang_2019,,ED,N=1243,Sepsis-3,,0,1,
Zhang_2021,,ICU,N=443,Sepsis-3,,0,4,
