study_id,population,sample_size,predictor,outcome,timing,model,effect_size,performance,adjustment,relevance,source
Besen_2016,N=957,957,bilirubin,28-day mortality,First 24h,Logistic regression,HR 65.00,,,Medium,Besen_2016.pdf
Besen_2016,N=957,957,lactate,28-day mortality,First 24h,Logistic regression,HR 65.00,,,High,Besen_2016.pdf
Bidart_2024,N=356,356,bilirubin,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.580,,Medium,Bidart_2024.pdf
Bidart_2024,N=356,356,platelets,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.580,,Medium,Bidart_2024.pdf
Bidart_2024,N=356,356,creatinine,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.580,,Medium,Bidart_2024.pdf
Bidart_2024,N=356,356,lactate,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.580,,High,Bidart_2024.pdf
Cao_2021,N=1604,1604,procalcitonin,28-day mortality,First 24h,Logistic regression,OR 2.56,,,Medium,Cao_2021.pdf
Cao_2021,N=1604,1604,bilirubin,28-day mortality,First 24h,Logistic regression,OR 2.56,,,Medium,Cao_2021.pdf
Cao_2021,N=1604,1604,albumin,28-day mortality,First 24h,Logistic regression,OR 2.56,,,Medium,Cao_2021.pdf
Cao_2021,N=1604,1604,lactate,28-day mortality,First 24h,Logistic regression,OR 2.56,,,High,Cao_2021.pdf
Cao_2021,N=1604,1604,creatinine,28-day mortality,First 24h,Logistic regression,OR 2.56,,,Medium,Cao_2021.pdf
Chen_2021,N=131,131,albumin,28-day mortality,First 24h,Logistic regression,HR 90.00,,,Medium,Chen_2021.pdf
Chen_2021,N=131,131,creatinine,28-day mortality,First 24h,Logistic regression,HR 90.00,,,Medium,Chen_2021.pdf
Gai_2022,N=N/A,,platelets,28-day mortality,First 24h,Logistic regression,OR 0.29,AUC 0.990,,Medium,Gai_2022.pdf
Gai_2022,N=N/A,,albumin,28-day mortality,First 24h,Logistic regression,OR 0.29,AUC 0.990,,Medium,Gai_2022.pdf
Gai_2022,N=N/A,,lactate,28-day mortality,First 24h,Logistic regression,OR 0.29,AUC 0.990,,High,Gai_2022.pdf
Holanda_2020,N=122,122,lactate,28-day mortality,First 24h,Logistic regression,HR 5.00,,,High,Holanda_2020.pdf
Kochkin_2021,N=978,978,procalcitonin,28-day mortality,First 24h,Logistic regression,OR 1.00,,,Medium,Kochkin_2021.pdf
Kochkin_2021,N=978,978,lactate,28-day mortality,First 24h,Logistic regression,OR 1.00,,,High,Kochkin_2021.pdf
Koozi_2023,N=N/A,,WBC,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.850,,Medium,Koozi_2023.pdf
Koozi_2023,N=N/A,,CRP,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.850,,Medium,Koozi_2023.pdf
Koozi_2023,N=N/A,,leukocyte,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.850,,Medium,Koozi_2023.pdf
Koozi_2023,N=N/A,,procalcitonin,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.850,,Medium,Koozi_2023.pdf
Koozi_2023,N=N/A,,bilirubin,28-day mortality,First 24h,Logistic regression,HR 30.00,AUC 0.850,,Medium,Koozi_2023.pdf
Kozlov_2022,N=134,134,lactate,28-day mortality,First 24h,Logistic regression,OR 1.57,AUC 0.813,,High,Kozlov_2022.pdf
Li_2020,N=146,146,leukocyte,28-day mortality,First 24h,Logistic regression,HR 90.00,AUC 0.890,,Medium,Li_2020.pdf
Li_2020,N=146,146,procalcitonin,28-day mortality,First 24h,Logistic regression,HR 90.00,AUC 0.890,,Medium,Li_2020.pdf
Li_2020,N=146,146,bilirubin,28-day mortality,First 24h,Logistic regression,HR 90.00,AUC 0.890,,Medium,Li_2020.pdf
Li_2020,N=146,146,albumin,28-day mortality,First 24h,Logistic regression,HR 90.00,AUC 0.890,,Medium,Li_2020.pdf
Li_2020,N=146,146,lactate,28-day mortality,First 24h,Logistic regression,HR 90.00,AUC 0.890,,High,Li_2020.pdf
Li_2024,N=209,209,WBC,28-day mortality,First 24h,Logistic regression,HR 28.00,AUC 0.749,,Medium,Li_2024.pdf
Li_2024,N=209,209,CRP,28-day mortality,First 24h,Logistic regression,HR 28.00,AUC 0.749,,Medium,Li_2024.pdf
Li_2024,N=209,209,procalcitonin,28-day mortality,First 24h,Logistic regression,HR 28.00,AUC 0.749,,Medium,Li_2024.pdf
Li_2024,N=209,209,albumin,28-day mortality,First 24h,Logistic regression,HR 28.00,AUC 0.749,,Medium,Li_2024.pdf
Li_2024,N=209,209,lactate,28-day mortality,First 24h,Logistic regression,HR 28.00,AUC 0.749,,High,Li_2024.pdf
