study_id,type,value
Baloch_2022,AUC,0.81
Baloch_2022,AUC,0.75
Baloch_2022,AUC,0.81
Baloch_2022,AUC,0.75
Baloch_2022,AUC,0.81
Baloch_2022,AUC,0.89
Baloch_2022,AUC,0.88
Baloch_2022,AUC,0.75
Baloch_2022,AUC,0.84
Baloch_2022,AUC,0.7
Baloch_2022,or,30.0
Baloch_2022,or,30.0
Baloch_2022,or,5.2
Baloch_2022,or,30.0
Baloch_2022,or,30.0
Baloch_2022,or,30.0
Baloch_2022,or,30.0
Besen_2016,or,65.0
Besen_2016,or,3.0
Besen_2016,or,32.0
Bidart_2024,AUC,0.58
Bidart_2024,AUC,0.52
Bidart_2024,or,30.0
Bidart_2024,or,30.0
Bidart_2024,or,14.0
Bidart_2024,or,28.0
Cao_2021,OR,2.56
Cao_2021,OR,1.2
Cao_2021,OR,1.08
Cao_2021,OR,2.57
Cao_2021,or,62.9
Cao_2021,or,61.2
Cao_2021,or,66.2
Cao_2021,or,8.8
Cao_2021,or,24.0
Cao_2021,OR,2.56
Cao_2021,OR,1.2
Cao_2021,OR,2.57
Cao_2021,OR,95.0
Cao_2021,OR,95.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,HR,0.64
Chen_2021,HR,0.72
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,HR,1.15
Chen_2021,HR,1.34
Chen_2021,HR,2.5
Chen_2021,HR,1.32
Chen_2021,HR,2.2
Chen_2021,HR,0.87
Chen_2021,HR,1.31
Chen_2021,HR,2.32
Chen_2021,HR,1.13
Chen_2021,HR,1.3
Chen_2021,or,95.0
Chen_2021,HR,2.09
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,HR,1.37
Chen_2021,HR,1.25
Chen_2021,or,90.0
Chen_2021,HR,0.64
Chen_2021,HR,0.72
Chen_2021,or,90.0
Chen_2021,HR,0.54
Chen_2021,HR,0.69
Chen_2021,or,90.0
Chen_2021,HR,0.62
Chen_2021,or,90.0
Chen_2021,HR,0.82
Chen_2021,OR,0.86
Chen_2021,or,28.0
Chen_2021,OR,1.5
Chen_2021,or,28.0
Chen_2021,OR,3.29
Chen_2021,OR,1.24
Chen_2021,HR,1.2
Chen_2021,HR,0.9
Chen_2021,HR,1.46
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,28.0
Chen_2021,or,28.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,25.0
Chen_2021,or,90.0
Chen_2021,or,28.0
Chen_2021,or,90.0
Chen_2021,or,2.0
Chen_2021,or,90.0
Chen_2021,or,90.0
Chen_2021,or,28.0
Cilloniz_2019,or,30.0
Cilloniz_2019,OR,95.0
Cilloniz_2019,OR,95.0
Cilloniz_2019,or,30.0
Cilloniz_2019,OR,95.0
Cilloniz_2019,OR,95.0
Cilloniz_2019,or,30.0
Gai_2022,AUC,0.99
Gai_2022,AUC,0.99
Gai_2022,OR,0.295
Holanda_2020,or,5.0
Holanda_2020,or,14.4
Holanda_2020,or,85.0
Kochkin_2021,OR,1.0
Kochkin_2021,OR,1.0
Kochkin_2021,OR,1.0
Kochkin_2021,OR,1.0
Kochkin_2021,OR,1.0
Kochkin_2021,OR,1.0
Kochkin_2021,OR,6.0
Kochkin_2021,OR,1.0
Koozi_2023,AUC,0.72
Koozi_2023,AUC,0.75
Koozi_2023,AUC,0.67
Koozi_2023,AUC,0.8
Koozi_2023,AUC,0.85
Koozi_2023,AUC,0.75
Koozi_2023,AUC,0.75
Koozi_2023,AUC,0.72
Koozi_2023,AUC,0.67
Koozi_2023,AUC,0.71
Koozi_2023,AUC,0.66
Koozi_2023,or,30.0
Koozi_2023,or,30.0
Kozlov_2022,AUC,0.813
Kozlov_2022,AUC,0.799
Kozlov_2022,OR,1.5712
Kozlov_2022,OR,3.5293
Kozlov_2022,OR,37.0
Kozlov_2022,OR,11.8182
Kozlov_2022,or,50.0
Li_2020,AUC,0.89
Li_2020,AUC,0.8
Li_2020,AUC,0.89
Li_2020,AUC,0.79
Li_2020,AUC,0.85
Li_2020,AUC,0.8
Li_2020,or,90.0
Li_2020,or,90.0
Li_2020,HR,5.19
Li_2020,HR,4.54
Li_2020,HR,2.9
Li_2020,HR,2.2
Li_2020,or,44.4
Li_2020,or,1.0
Li_2020,HR,8.36
Li_2020,HR,20.27
Li_2020,or,1.0
Li_2020,or,1.0
Li_2020,or,90.0
Li_2020,or,90.0
Li_2024,AUC,0.749
Li_2024,or,28.0
Li_2024,or,28.0
Li_2024,or,28.0
Li_2024,or,28.0
Li_2024,or,28.0
Li_2024,or,28.0
Li_2024,HR,95.0
Li_2024,HR,95.0
Li_2024,or,28.0
Liu_2019,or,90.0
Liu_2019,HR,93.0
Liu_2019,or,36.0
Luo_2022,HR,1.589
Luo_2022,HR,95.0
Luo_2022,HR,95.0
Park_2022,OR,2.99
Park_2022,OR,2.38
Park_2022,OR,1.99
Park_2022,OR,1.93
Park_2022,OR,2.78
Park_2022,OR,9.06
Park_2022,OR,7.25
Park_2022,or,28.0
Park_2022,or,28.0
Park_2022,or,28.0
Park_2022,OR,1.13
Park_2022,or,28.0
Ren_2022,or,80.0
Ren_2022,or,25.0
Ren_2022,or,35.001
Ren_2022,or,34.001
Ren_2022,or,1.6
Ren_2022,or,7.46
Ren_2022,or,7.56
Ren_2022,OR,95.0
Roh_2019,AUC,0.716
Schlapbach_2018,or,2.0
Schlapbach_2018,or,3.0
Schlapbach_2018,OR,1.94
Schlapbach_2018,OR,1.46
Schlapbach_2018,or,4.0
Schlapbach_2018,OR,2.97
Schlapbach_2018,OR,1.83
Schlapbach_2018,OR,2.0
Schlapbach_2018,OR,1.54
Schlapbach_2018,OR,1.5
Schlapbach_2018,OR,1.5
Schlapbach_2018,OR,1.38
Seymour_2016,or,4.2
Seymour_2016,or,3.0
Seymour_2016,or,1.0
Seymour_2016,or,2.0
Seymour_2016,or,3.0
Seymour_2016,or,70.0
Seymour_2016,or,12.0
Seymour_2016,or,3.0
Seymour_2016,or,12.0
Seymour_2016,or,1.0
Suttapanit_2022,or,28.0
Suttapanit_2022,or,28.0
Tang_2025,or,28.0
Tang_2025,OR,1.1
Tang_2025,or,28.0
Tang_2025,OR,1.5
Tang_2025,OR,1.1
Tang_2025,OR,1.02
Tang_2025,OR,1.1
Tang_2025,OR,1.01
Tang_2025,or,28.0
Tartaglia_2021,or,52.2
Tartaglia_2021,OR,1.18
Tartaglia_2021,OR,4.66
Tartaglia_2021,OR,7.86
Tartaglia_2021,or,1.0
Tartaglia_2021,OR,4.66
Tartaglia_2021,OR,7.86
Tartaglia_2021,OR,95.0
Tartaglia_2021,OR,1.18
Tartaglia_2021,OR,4.66
Tartaglia_2021,OR,7.86
Todi_2024,AUC,0.768
Todi_2024,AUC,0.64
Todi_2024,AUC,0.54
Todi_2024,or,2.0
Varga_2024,AUC,0.903
Varga_2024,AUC,0.762
Varga_2024,AUC,0.762
Varga_2024,AUC,0.5
Varga_2024,AUC,0.5
Wang_2020,OR,0.65
Wang_2020,OR,0.43
Wang_2020,or,7.0
Wang_2020,or,7.0
Wang_2020,or,28.0
Wang_2020,OR,0.43
Wang_2020,OR,0.65
Wang_2020,OR,0.58
Wang_2020,OR,0.43
Wang_2020,or,2.43
Wang_2020,or,25.0
Wang_2023,AUC,0.773
Wang_2023,AUC,0.75
Wang_2023,AUC,0.773
Wang_2023,AUC,0.75
Wang_2023,OR,1.28
Wang_2023,OR,95.0
Wang_2023,OR,95.0
Wen_2019,AUC,0.703
Wen_2019,AUC,0.817
Wen_2019,AUC,0.793
Wen_2019,AUC,0.817
Wen_2019,AUC,0.711
Wen_2019,AUC,0.703
Wen_2019,AUC,0.793
Wen_2019,AUC,0.703
Wen_2019,AUC,0.711
Wen_2019,AUC,0.793
Wen_2019,AUC,0.817
Wen_2019,AUC,0.817
Wen_2019,OR,1.221
Wen_2019,OR,1.296
Wen_2019,OR,1.404
Wen_2019,OR,0.995
Wen_2019,OR,1.021
Zhang_2019,or,2.0
Zhang_2021,AUC,0.789
Zhang_2021,AUC,0.765
Zhang_2021,AUC,0.754
Zhang_2021,AUC,0.8
Zhang_2021,AUC,0.69
Zhang_2021,or,19.7
Zhang_2021,or,0.69
