study_id,outcome,timepoint,rate_percent
Baloch_2022,mortality,30-day,57.0
Bidart_2024,mortality,30-day,49.77
Cao_2021,mortality,in-hospital,48.7
Cao_2021,mortality,28-day,56.0
Chen_2021,mortality,90-day,95.0
Cilloniz_2019,mortality,30-day,95.0
Koozi_2023,mortality,30-day,25.3
Li_2020,mortality,30-day,17.1
Li_2020,mortality,90-day,95.0
Li_2024,mortality,28-day,37.3
Liu_2019,mortality,30-day,33.88
Liu_2019,mortality,90-day,43.57
Liu_2019,mortality,in-hospital,34.99
Luo_2022,mortality,30-day,62.6
Park_2022,mortality,28-day,28.1
Ren_2022,mortality,in-hospital,20.0
Ren_2022,mortality,28-day,62.0
Roh_2019,mortality,180-day,83.8
Roh_2019,survival,180-day,83.8
Roh_2019,survival,365-day,72.1
Schlapbach_2018,mortality,30-day,1.0
Schlapbach_2018,mortality,in-hospital,5.0
Seymour_2016,mortality,in-hospital,95.0
Suttapanit_2022,mortality,28-day,12.4
Tang_2025,mortality,28-day,9.38
Varga_2024,mortality,30-day,31.6
Wang_2020,mortality,in-hospital,50.9
Wen_2019,mortality,in-hospital,49.15
Zhang_2021,mortality,30-day,16.7
